Part Name,Price In USD using # Needed,Price,Link,Total for Parts Needed (USD),Grand Total For All (USD)
8MM Rex Bearing,8.99 (3 Bearings),11.98,https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-rex-id-x-14mm-od-5mm-thickness-2-pack/,12.54,28.44
M4 10MM,2.31 (17 Screws),3.39,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-10mm-length/?sku=2800-0004-0010,,
M4 20MM,0.48 (3 Screws),3.99,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-20mm-length-25-pack/,,
M4 25MM,0.17 (1 Screw),4.19,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-25mm-length-25-pack/,,
M4 45MM ,0.59 (3 Screws),4.89,https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-45mm-length-25-pack/,,
